Teaching evaluation data aggregated by department and broken down by sex, instructor type, and question Note: Only contains data from classes with enrollment of at least 40 (top quartile of class size)  If you are interested in viewing data for individual instructors or for individual courses, please reach out to Madeline Endres (endremad@umich.edu) and Westley Weimer (weimerw@umich.edu)												
Department of the data for any given row. See Sheet 2 for decoding these	Instructor Type: Professor, Not a Professer (e.g., TA), or All (Professor and Not a Professor) 	The sex of instructors in this row	The teaching evaluation question (or questions) considered in this row	The number of instructors aggregated in this row	Number of "Strong Disagree" ratings 	Number of "Disagree" ratings 	Number of "Neutral" ratings 	Number of "Agree" ratings 	Number of "Strong Agree" ratings 	Number of "Not Applicable" ratings 	Total number of ratings (not including NA ratings)	Average evaluation score for teachers aggregated in this row.  Note: Calculated by first calculating the score for each teacher using an Interpolated Median (http://aec.umich.edu/median.php). These scores are then averaged. Thus, this column will not equal the Interpolated Median of the raw data in columns SD-SA)
SPACE	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
SPACE	Not a Professor	Male	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
SPACE	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
SPACE	Not a Professor	Male	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	All	Female	All Questions	7	70	96	233	838	997	88	2234	4.254775261
TCHNCLCM	Professor	Female	All Questions	7	70	96	233	838	997	88	2234	4.254775261
TCHNCLCM	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	7	15	25	51	115	84	1	290	3.885155747
TCHNCLCM	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	7	15	25	51	115	84	1	290	3.885155747
TCHNCLCM	All	Female	My interest in the subject has increased because of this course.	7	17	26	41	105	97	2	286	3.959096922
TCHNCLCM	Professor	Female	My interest in the subject has increased because of this course.	7	17	26	41	105	97	2	286	3.959096922
TCHNCLCM	All	Female	Overall, the instructor was an excellent teacher.	7	2	7	25	118	119	20	271	4.331034974
TCHNCLCM	Professor	Female	Overall, the instructor was an excellent teacher.	7	2	7	25	118	119	20	271	4.331034974
TCHNCLCM	All	Female	Overall, this was an excellent course	7	22	18	47	91	112	1	290	3.989546053
TCHNCLCM	Professor	Female	Overall, this was an excellent course	7	22	18	47	91	112	1	290	3.989546053
TCHNCLCM	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	7	3	5	24	105	129	22	266	4.423628364
TCHNCLCM	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	7	3	5	24	105	129	22	266	4.423628364
TCHNCLCM	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	7	0	4	11	101	150	24	266	4.577055822
TCHNCLCM	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	7	0	4	11	101	150	24	266	4.577055822
TCHNCLCM	All	Female	The instructor treated students with respect.	7	0	3	9	79	183	16	274	4.65440838
TCHNCLCM	Professor	Female	The instructor treated students with respect.	7	0	3	9	79	183	16	274	4.65440838
TCHNCLCM	All	Female	This course advanced my understanding of the subject matter.	7	11	8	25	124	123	2	291	4.191414835
TCHNCLCM	Professor	Female	This course advanced my understanding of the subject matter.	7	11	8	25	124	123	2	291	4.191414835
TCHNCLCM	All	Male	All Questions	2	44	93	186	343	367	0	1033	4.134664179
TCHNCLCM	Professor	Male	All Questions	2	44	93	186	343	367	0	1033	4.134664179
TCHNCLCM	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	11	18	35	38	28	0	130	3.451149425
TCHNCLCM	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	11	18	35	38	28	0	130	3.451149425
TCHNCLCM	All	Male	My interest in the subject has increased because of this course.	2	13	18	29	43	26	0	129	3.395833333
TCHNCLCM	Professor	Male	My interest in the subject has increased because of this course.	2	13	18	29	43	26	0	129	3.395833333
TCHNCLCM	All	Male	Overall, the instructor was an excellent teacher.	2	3	9	22	50	45	0	129	4.228174603
TCHNCLCM	Professor	Male	Overall, the instructor was an excellent teacher.	2	3	9	22	50	45	0	129	4.228174603
TCHNCLCM	All	Male	Overall, this was an excellent course	2	9	19	39	36	27	0	130	3.245535714
TCHNCLCM	Professor	Male	Overall, this was an excellent course	2	9	19	39	36	27	0	130	3.245535714
TCHNCLCM	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	1	12	22	41	53	0	129	4.359848485
TCHNCLCM	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	1	12	22	41	53	0	129	4.359848485
TCHNCLCM	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	4	9	43	72	0	128	4.656318681
TCHNCLCM	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	4	9	43	72	0	128	4.656318681
TCHNCLCM	All	Male	The instructor treated students with respect.	2	1	3	12	31	81	0	128	4.72752193
TCHNCLCM	Professor	Male	The instructor treated students with respect.	2	1	3	12	31	81	0	128	4.72752193
TCHNCLCM	All	Male	This course advanced my understanding of the subject matter.	2	6	10	18	61	35	0	130	3.97173913
TCHNCLCM	Professor	Male	This course advanced my understanding of the subject matter.	2	6	10	18	61	35	0	130	3.97173913
TCHNCLCM	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	The instructor treated students with respect.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Female	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
TCHNCLCM	Not a Professor	Male	This course advanced my understanding of the subject matter.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	All	Male	All Questions	3	126	145	227	411	538	1	1447	3.951672707
UARTS	Professor	Male	All Questions	3	126	145	227	411	538	1	1447	3.951672707
UARTS	All	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	16	40	34	60	32	0	182	3.30952381
UARTS	Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	3	16	40	34	60	32	0	182	3.30952381
UARTS	All	Male	My interest in the subject has increased because of this course.	3	42	21	51	33	35	0	182	3.026388889
UARTS	Professor	Male	My interest in the subject has increased because of this course.	3	42	21	51	33	35	0	182	3.026388889
UARTS	All	Male	Overall, the instructor was an excellent teacher.	3	5	2	34	54	86	0	181	4.241787919
UARTS	Professor	Male	Overall, the instructor was an excellent teacher.	3	5	2	34	54	86	0	181	4.241787919
UARTS	All	Male	Overall, this was an excellent course	3	43	37	27	37	35	0	179	2.794117647
UARTS	Professor	Male	Overall, this was an excellent course	3	43	37	27	37	35	0	179	2.794117647
UARTS	All	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	3	8	25	52	92	0	180	4.322126437
UARTS	Professor	Male	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	3	8	25	52	92	0	180	4.322126437
UARTS	All	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	1	2	11	62	104	0	180	4.545758128
UARTS	Professor	Male	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	3	1	2	11	62	104	0	180	4.545758128
UARTS	All	Male	The instructor treated students with respect.	3	1	1	9	58	112	1	181	4.659401709
UARTS	Professor	Male	The instructor treated students with respect.	3	1	1	9	58	112	1	181	4.659401709
UARTS	All	Male	This course advanced my understanding of the subject matter.	3	15	34	36	55	42	0	182	3.467391304
UARTS	Professor	Male	This course advanced my understanding of the subject matter.	3	15	34	36	55	42	0	182	3.467391304
UARTS	All	Female	All Questions	2	90	119	179	236	122	0	746	3.420651355
UARTS	Professor	Female	All Questions	2	90	119	179	236	122	0	746	3.420651355
UARTS	All	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	10	26	22	32	4	0	94	3
UARTS	Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	2	10	26	22	32	4	0	94	3
UARTS	All	Female	My interest in the subject has increased because of this course.	2	28	14	32	18	2	0	94	2.65625
UARTS	Professor	Female	My interest in the subject has increased because of this course.	2	28	14	32	18	2	0	94	2.65625
UARTS	All	Female	Overall, the instructor was an excellent teacher.	2	8	16	24	32	13	0	93	3.427521008
UARTS	Professor	Female	Overall, the instructor was an excellent teacher.	2	8	16	24	32	13	0	93	3.427521008
UARTS	All	Female	Overall, this was an excellent course	2	28	24	18	20	2	0	92	2.25
UARTS	Professor	Female	Overall, this was an excellent course	2	28	24	18	20	2	0	92	2.25
UARTS	All	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	5	8	27	29	24	0	93	3.678921569
UARTS	Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	5	8	27	29	24	0	93	3.678921569
UARTS	All	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	5	14	38	36	0	93	4.210784314
UARTS	Professor	Female	The instructor seemed well prepared for class meetings. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	2	0	5	14	38	36	0	93	4.210784314
UARTS	All	Female	The instructor treated students with respect.	2	1	4	18	35	35	0	93	4.170833333
UARTS	Professor	Female	The instructor treated students with respect.	2	1	4	18	35	35	0	93	4.170833333
UARTS	All	Female	This course advanced my understanding of the subject matter.	2	10	22	24	32	6	0	94	3.125
UARTS	Professor	Female	This course advanced my understanding of the subject matter.	2	10	22	24	32	6	0	94	3.125
UARTS	Not a Professor	Female	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Male	All Questions	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Female	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Male	I knew what was expected of me in this course. (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever).	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Female	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Male	My interest in the subject has increased because of this course.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Female	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Male	Overall, the instructor was an excellent teacher.	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Female	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Male	Overall, this was an excellent course	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
UARTS	Not a Professor	Female	The instructor explained material clearly.  (SA=Almost Always, A=Frequently, N=Sometimes, D=Occasionally, SD=Hardly Ever)	0	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data	Not Enough Data
